Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	classification	classification_tags
ICA_00	27.781874938355465	15.531078961654735	0.7999444827310301	0.009005939399668084	4034	2391	0.5561334517315742	0.3492933980172959	1341	0.3532987879848377	0.7253338663951583	27.6	-1	rejected	Unlikely BOLD
ICA_01	33.630747404925025	21.094377972558	0.28906437454689776	0.0059830365565319435	6056	4901	0.7217841092173323	0.5818024637994381	618	11.218694863637465	8.625420816662352e-28	16.6	-1	rejected	Unlikely BOLD
ICA_02	27.225812423054375	16.015060429318456	0.38687665145764044	0.004887227269505993	3662	2603	0.5860037361689898	0.41976767080133887	1379	12.38021204048229	1.4587941170237327e-19	24.8	1	rejected	Unlikely BOLD
ICA_03	104.6995165982656	17.33137846181368	0.8132270585165972	0.009398515194779116	6914	5144	0.7980127539670769	0.6933971673648514	579	13.70430426316044	1.3147675199692202e-39	7.3	-1	accepted	Likely BOLD
ICA_04	37.20528030625047	17.664317233773208	0.3809290619595854	0.003982811382639164	4597	3517	0.6685952325850497	0.5480427046263345	1148	12.388865199173766	2.193261644504875e-30	19.2	-1	rejected	Unlikely BOLD
ICA_05	43.314963566230695	13.05885936168487	0.3006438439946209	0.005114722284386484	3954	2529	0.6281254134144728	0.43532740501212613	850	14.452735381093474	1.8053133204754908e-42	18.8	1	accepted	Likely BOLD
ICA_06	110.76727441444316	19.904239066016622	0.9219365902819978	0.011621597953562249	7085	5456	0.8254710298909194	0.7014428412874584	581	9.170586894087892	2.536019693551824e-19	7.6	1	accepted	Likely BOLD
ICA_07	82.94632733490224	18.19040481994516	1.1135764489103328	0.012703887034046471	6628	5043	0.7719404798056484	0.6351185609157809	847	11.704707776021696	5.466353308501438e-30	13.0	-1	accepted	Likely BOLD
ICA_08	25.765396961460688	24.555596529219667	1.239049653874704	0.012699990684497663	3893	3142	0.48636240885768295	0.40039447731755423	766	-2.591866574563454	0.009724061435367887	28.4	1	rejected	Unlikely BOLD
ICA_09	54.18671792361954	29.784231867377496	0.978643405559128	0.011069197719003953	6744	5923	0.6247194373784228	0.4747527329515877	1215	7.50622590748209	9.69291642303456e-13	19.0	1	rejected	Unlikely BOLD
ICA_10	32.95101298837755	26.94626540247925	1.3100101909689172	0.014694157858960038	4445	3738	0.5430508474576271	0.44370860927152317	754	2.932128271123314	0.003438221183574142	24.2	-1	rejected	Unlikely BOLD
ICA_11	42.13631971523083	35.04821728764447	0.7563142601171102	0.0086321890334498	7303	6571	0.6869997239856472	0.5545283610153557	1383	5.276818250976513	1.6056198736316502e-06	18.6	1	rejected	Unlikely BOLD
ICA_12	95.61393518065564	17.17114985872099	0.8465138193808844	0.011369346418210496	6708	4916	0.7746987951807229	0.6513361013520707	519	15.493096751520198	4.1255742405935055e-48	7.6	-1	accepted	Likely BOLD
ICA_13	37.662477850220824	19.288223107592465	6.20804168654181	0.05221438715949996	5243	3704	0.5385585410806092	0.26758388319528287	1359	-6.692653578479115	6.013896138465038e-09	26.8	1	rejected	Unlikely BOLD
ICA_14	28.35270122788046	12.645543489692319	0.5131399935940287	0.007059849319637213	5699	3522	0.6949616648411829	0.5064876957494407	1155	4.1109280888908595	4.772047587202242e-05	22.6	1	rejected	Unlikely BOLD
ICA_15	36.35583971338989	15.04361331617866	0.46405355590224345	0.00656167855023172	7175	5547	0.7527592267135325	0.6110698365527489	763	9.332139608669168	4.993910391202131e-20	14.2	-1	rejected	Unlikely BOLD
ICA_16	124.0861887241162	20.55816882821983	0.8133781803559612	0.011893075594343105	4572	3382	0.705707082282833	0.6376078548051175	201	14.35836540285565	4.907786497665878e-34	10.4	1	accepted	Likely BOLD
ICA_17	156.99274054219845	18.142546391951786	1.3434745691318675	0.019890574239255734	6179	4769	0.7746502331778814	0.6403222294796429	179	8.203835150834173	1.1241732679660776e-14	8.8	1	accepted	Likely BOLD
ICA_18	77.18747946635848	17.107435400835197	0.5383439592889916	0.0077711207172868075	6570	4885	0.7671998757571051	0.6326552577763427	711	17.722140358128257	1.0963632425551934e-62	10.6	-1	accepted	Likely BOLD
ICA_19	62.23056058640946	16.672700281362463	0.31347512220947993	0.005326671592055401	5579	4206	0.7537397157816006	0.6331962255020566	569	15.576697038007918	7.786182550166138e-50	11.8	1	accepted	Likely BOLD
